"","lambda_loss","lambda_acs0","lambda_dacs","lambda_prec","lambda_seas","lambda_bd","theta_0","sd_theta","beta","gamma","sigma","lp__"
"23",0.111343253827166,0.0307166982074943,0.0301934193914247,0.00931607456853166,0.0145329351495335,0.0326964752064118,0.229567827937856,0.0690112520310947,0.00555948065570484,1.1532270023277,0.530742042350194,-3446.14145973911
"24",0.0624520516981023,0.019432623034714,0.0313586845074328,0.0266900572112057,0.030923006276609,0.0055843114810424,0.18747055388734,0.0513643049347174,0.00470587941788972,1.11981265858056,0.519209444470236,-3441.20005743407
"25",0.164722882211079,0.0914419162872518,0.0313559108931923,0.0253305228628312,0.0394498233285126,0.0569421239951159,0.462938763011265,0.139913948557464,0.010807616473487,1.16718302160323,0.524478797879998,-3479.87273302314
"26",0.157022856764114,0.0183298450500248,0.043885152387545,0.00820235922437556,0.0147806915010713,0.043855785520508,0.302909385438181,0.0808934661630545,0.00674006259944129,1.16563503170946,0.525469141944896,-3454.3803529586
"27",0.110249103008295,0.024899295854603,0.0418718557369207,0.019503923689144,0.0191581571454416,0.0232314210494057,0.252229358318567,0.0788019798201386,0.00681125108935991,1.12971017164356,0.528962405128626,-3462.80289904774
"28",0.14855379934384,0.0242416564359405,0.0198792603174083,0.0486391977448606,0.0365133577866826,0.046800466136326,0.335431714220912,0.0982625818487579,0.00796986358101526,1.16325219552282,0.528792929944247,-3452.10493257077
"29",0.126975705356508,0.0211959135521911,0.0354881216329072,0.039797035122609,0.0306072391454611,0.0389414782964502,0.340392523071068,0.116301167972356,0.00778578194197952,1.16904035566797,0.525910272149109,-3450.47398804096
"30",0.163947705576155,0.0822716894336906,0.0401386443235816,-0.0192642027817901,0.00704047831722928,0.0286498991777031,0.351800046860673,0.111530344157592,0.00795572466640976,1.16300102629718,0.546833929578754,-3450.23621535145
"31",0.125537371161998,0.052181437793767,0.0372910155718059,-0.00762639385538387,0.00520080722483293,0.0296968334763331,0.25570329873169,0.0822355642363069,0.00568042369346873,1.18793835425141,0.511012712646377,-3446.33194869557
"32",0.140930970941676,0.0474340009783782,0.0547653894096919,-0.00200845392608473,0.0351276385250201,0.061518435803755,0.316253662921674,0.105828864718624,0.00806316023951911,1.12227069569449,0.512212184057976,-3454.80716912809
"33",0.148259628354643,0.0498478878847646,0.0262686783909134,-0.00732855826764318,0.0250621406408525,0.0416825925900675,0.297783279845045,0.0785978927546514,0.00646578120022499,1.18191586633567,0.510335633275957,-3428.23252763177
"34",0.142890612314133,0.0545558313454244,0.0423937741340339,0.0387477748512124,0.0313902073850117,0.0383141070625315,0.366889470898411,0.102677389425044,0.00946315176951809,1.14084914000901,0.520284015059185,-3429.03128775874
"35",0.141715899198173,0.0608636041285169,0.0286853389444331,0.00292830072383256,0.0183034850606846,0.0443280726662235,0.356575260230539,0.109262224270709,0.00792631224114631,1.17757456578565,0.519607179521645,-3438.60063088089
"36",0.0869502542326996,0.0287307773339374,0.0252184979353173,0.0153229601014247,0.0139612403445655,0.0237876333111758,0.199504852292093,0.058111696704114,0.00443096516289611,1.14995272005534,0.528590308571825,-3438.78298825949
"37",0.123119408542272,0.025758137921367,0.0381661255071187,0.0472804051447856,0.0263882230359968,0.0360716529955942,0.280250225896501,0.100614424736798,0.00724591471866245,1.14188664200312,0.518722983053952,-3454.43883612987
"38",0.119340386154904,0.0743415631545704,0.040683930229857,-0.00670722017993751,-0.0112248346588406,0.0341517718072842,0.283722397600778,0.0783489975865219,0.00696317614661199,1.13020471961237,0.531903054857432,-3457.72351186186
"39",0.147665140065854,0.0644330528221312,0.0289729183442522,-0.00725783467745803,0.0166735991780072,0.0489682215441284,0.325701000862355,0.0816671858354149,0.0072379786618241,1.1686753004148,0.506871725612476,-3440.29332307511
"40",0.128532444467695,0.0303484372623274,0.0652355125676728,0.0418462661361097,0.0176026461122978,0.0195312409480053,0.292394546302962,0.0937348115870614,0.00684196912456417,1.16794735763085,0.517509864485075,-3465.56662281909
"41",0.137379535949022,0.0645307355601924,0.0520946548987199,0.0171362036441683,0.0295402181743006,0.0511882691423832,0.410963313781012,0.139312819369403,0.0090634101964429,1.1737170970753,0.532501290353878,-3454.32080134107
"42",0.154568327513198,0.0271950047780438,0.0316266761851767,0.0446704268877392,0.0454015362454069,0.0272479638490858,0.313430025512629,0.0990673207524409,0.00762161047266422,1.14449510636316,0.506748526183012,-3445.71558960305
