"alpha","beta","r[1]","r[2]","r[3]","r[4]","r[5]","sigma","sigma_r","lp__"
15.7616150733907,0.0107721864280452,0.824828627029358,0.833081810682332,0.379720889039601,-0.0189645808638293,-2.05393892560432,0.152851864512053,0.878697954863774,12.358236988175
15.8615717417202,0.0099374586993025,0.819558759721032,0.794663776832319,0.339744615852293,-0.0143917344050292,-2.06538503431452,0.156181829409622,1.21471481255978,13.7894925595362
16.3806980002847,0.0098044283199402,0.317398915269937,0.296728825337379,-0.152468287915482,-0.519760054514681,-2.55392046900644,0.131376087361139,1.6683872865434,13.0179684724961
16.1956688295419,0.0103039597905265,0.405915712155922,0.344582964288466,-0.0165131954211379,-0.430809795536545,-2.41604975303099,0.153173320399428,1.43167135028471,13.5953810279384
16.285111060594,0.00966726241436379,0.335747947405127,0.427875806992135,-0.0780422451909301,-0.425031864377369,-2.40497554804488,0.178483493376848,1.58928119180691,12.1405484583565
15.9811615653028,0.0107804204140955,0.607205868077389,0.523084206625035,0.088330013827856,-0.180786687453203,-2.12101709723711,0.160468703859056,3.53981090431691,9.66457702228493
15.5841287341137,0.00930640395201461,1.00553863335239,1.14340499293577,0.699073241988569,0.31624287883259,-1.73126084705244,0.170596098963728,0.68018418527998,9.32915183113871
15.5983098663214,0.00801868390457452,1.24486944751324,1.07665227234878,0.666810945290322,0.294225042925256,-1.4926295742347,0.170732205010039,0.648064454165326,4.97960102977914
15.6007697195523,0.0080592233656304,1.2604697750203,1.05712543885546,0.659650403406116,0.295350513742322,-1.490353299211,0.17073686142481,0.648313851088263,4.28647060999625
15.62646530061,0.0117475120748282,0.827527163302761,0.938651907131127,0.486158740627908,0.0978468304215785,-1.90305120189025,0.185626765272222,0.896738770064805,9.42614681090897
15.6489998613664,0.0104178531145725,1.06293134495184,0.920667967966741,0.536096725379479,0.177911653079721,-1.73653622167452,0.176105668226991,0.856434622848445,10.8688051063795
16.1650145277829,0.0095818386557735,0.399357504353862,0.494649596024484,0.0395175449503643,-0.349350257480761,-2.34351659052939,0.155611726579153,1.71150503845895,12.00511305166
16.1305762435804,0.00975282520546815,0.524141410417002,0.460862949317961,0.0495088549288793,-0.364110054611152,-2.30088188756171,0.154079391473172,1.60669926111003,13.2214334123993
