"ID_LogUnit","PlotYr","t0","AreaLogUnit","AreaLogged","VolTot","LogInt","AGB0","MAP","RainSeas","BulkDens"
"RIS021","RIS021_1979",1979,171.92,86,860,10,322.109726,3155,52,1.37
"RIS022","RIS022_1978",1978,168.41,84,840,10,321.9041747,3141,52,1.37
"RIS023","RIS023_1978",1978,136.55,68.5,685,10,272.667083133333,3117,52,1.37
"RIS024","RIS024_1978",1978,225.65,113,1130,10,290.08975365,3131.75,52.25,1.37
"RIS025","RIS025_1979",1979,160.95,80.5,805,10,276.63878,3124,52,1.37
"RIS026","RIS026_1979",1979,154.44,77,770,10,275.0034841,3145,52,1.37
"RIS027","RIS027_1979",1979,196.05,98,980,10,270.3331793,3155,52,1.37
"RIS028","RIS028_1979",1979,142.68,71.5,715,10,323.8039147,3163.5,52,1.37
"RIS029","RIS029_1978",1978,155.86,78,780,10,333.2228663,3178.5,52,1.37
"RIS030","RIS030_1978",1978,201.4,100.5,1005,10,267.370291233333,3121,53,1.37
"RIS031","RIS031_1978",1978,232.08,116,1160,10,311.219581566667,3172.66666666667,51,1.37
"RIS032","RIS032_1978",1978,200.36,100,1000,10,310.4848533,3140,52,1.37
"RIS033","RIS033_1978",1978,222.36,111,1110,10,308.022368566667,3152,51,1.37
"RIS035","RIS035_1983",1983,305.5,152.5,1525,10,323.557405466667,3124.75,51.75,1.37
"RIS041","RIS041_1983",1983,241.23,120.5,1205,10,272.5735079,3106.5,52,1.37
"RIS042","RIS042_1980",1980,216.21,108,1080,10,267.0060805,3081.33333333333,52,1.37
"RIS043","RIS043_1981",1981,131.68,66,660,10,265.5570213,3072,52,1.37
"RIS044","RIS044_1981",1981,287.93,144,1440,10,295.2621757,3155.8,51.6,1.37
"RIS045","RIS045_1981",1981,324,162,1620,10,304.459444466667,3196.25,51,1.37
"SAB002","SAB002_1995",1995,233.92,191,508.872,2.66425130890052,322.967361,2490.75,40,1.21
"SAB003","SAB003_1982",1982,269.01,134.5,1345,10,303.44085935,2494,39,1.21
"SAB004","SAB004_1991",1991,378.57,189.5,1895,10,304.444439,2502.33333333333,39.6666666666667,1.21
