"alpha","beta","phi","r[1]","r[2]","r[3]","r[4]","r[5]","sigma_r","lp__","C"
-3.31808854567765,0.781643856634545,3395.74664094596,0.0157283168133345,-0.0340629919661835,0.00812318769955893,-0.0401258795362392,-0.0103609343462478,0.0452212403055481,131.999868035588,0.000294399349055221
-3.38572625636787,0.790673810840725,3688.15554792122,0.0287098413822536,-0.0392869135635158,0.0138714373148713,-0.0427519768362568,-0.0146183220026036,0.0468819496629989,129.230536313838,0.000271064742868726
-3.27348704772895,0.758581622315098,1434.80068160391,0.0253936192239875,-0.0225064585506263,0.0208321909735846,-0.0319269870578352,-0.00912407103367698,0.0215832440724368,130.544642177235,0.000696475501657315
-3.30753716303671,0.774154304094159,1689.45068401596,0.0214780721462099,-0.0344357274763243,0.00555969417891261,-0.0354103455598826,-0.00828173668951374,0.0134595031331251,128.396953466756,0.00059155822139947
-3.44687949617956,0.814430765346223,3021.25281621834,0.018589938788881,-0.0422117697527059,0.00277824992484967,-0.0442097894702027,-0.0136144511059235,0.0586612278603345,130.041133428039,0.000330879003448584
-3.24728591489774,0.779527589513226,2821.98088733237,0.00566946915314617,-0.0522740183870752,-0.00773780595530432,-0.0534181806945645,-0.0322879107846631,0.0284285143645448,131.733890648535,0.000354235483664564
-3.37561516534238,0.79182513733635,3138.84957293745,0.0251116417114279,-0.0364852860219809,0.0102904383306829,-0.0465844987190133,-0.0174400527223965,0.0434217028737318,133.143244506487,0.000318486595223879
-3.32902869595586,0.765334763456095,2068.80245677223,0.0442887522339076,-0.0174944639929176,0.0286468031740641,-0.0282129810109101,0.00101589323499996,0.0427707402828896,132.721664000795,0.00048313789401886
-3.31271379374474,0.760543870007257,2166.67948707787,0.0339739783678388,-0.0219548011014065,0.0351755415079119,-0.0263050640862534,0.0045149990861409,0.041562618516436,132.337416847089,0.000461322813617638
-3.30803901589704,0.759842012323312,2322.6475101587,0.0395703348755295,-0.0200353123655786,0.024576401155155,-0.0210926550489889,0.00206445053925991,0.0575112338606384,133.9419168583,0.000430357872968307
-3.3140920524656,0.765266395041961,3265.88045578767,0.0335276146846938,-0.0252453641062801,0.0249568515096269,-0.0227563469950648,0.00362801583298743,0.0222881828099035,133.877972594294,0.000306102415908235
-3.32958283186934,0.76454513941023,2755.53762152037,0.039839872929704,-0.014143430125283,0.027311078969954,-0.0282094925105776,0.000452072481056275,0.0376947179184366,134.771216357896,0.000362773935023766
-3.30219638347975,0.751176874238725,2747.62137689717,0.0462915137648855,-0.00761975276780659,0.0341046150098199,-0.0216622960025349,0.00702841935018234,0.0402049149973299,134.396382619803,0.000363818752340807
-3.35592456732595,0.79820338064364,3192.66240850423,0.0105489874840657,-0.0490644712449347,0.000902517020131191,-0.0482178750142915,-0.0203167896125122,0.0287998124515784,134.042011926009,0.00031312013359244
-3.37109167234978,0.799784209351372,3091.13632123058,0.0150456881130705,-0.039102415548938,0.00375081247120651,-0.0505421013997561,-0.0225648992626806,0.024937144543499,133.636079494083,0.000323401006978253
-3.3891030837304,0.806275884225953,3369.88181824167,0.0198778410427369,-0.0433287977546878,-0.000905500769491917,-0.0561361725566712,-0.0229884143259126,0.0262112192073363,128.892229073177,0.000296658279322774
-3.27847518422772,0.747166182879155,1572.02908475677,0.0336830350087509,-0.0161360420812342,0.0346093056421986,-0.0135640329060922,0.00963360079518566,0.0614656162303793,128.098862460106,0.000635716154068838
-3.2756486615085,0.746061106864271,1580.83597767261,0.0362659676300316,-0.0150041026602143,0.0342197089739943,-0.0102293291239642,0.0080088862934142,0.0597552358327019,128.204966939945,0.00063217679589721
-3.30318883706562,0.770256771703447,4257.80793864229,0.0241081176204563,-0.0290504234418004,0.0110815444149704,-0.0329688833843949,-0.00945849556762432,0.0168653091200008,133.243620581525,0.000234807489421277
-3.38014036683778,0.798618828895679,2200.68111107662,0.0178598166754838,-0.0452291162998455,0.0128412453805104,-0.0448391376879525,-0.0228135634745493,0.0789380028903814,129.898893765697,0.000454198382758074
-3.37238703939218,0.796544210196554,2412.67649567823,0.0198665416721766,-0.0396799197520283,0.00335388611840955,-0.0488839527225386,-0.0149030951549447,0.0804648435769145,132.107520835072,0.000414305728953542
-3.35368702875611,0.79737795007881,3506.74111701356,0.00744863779276627,-0.0461662012354566,0.00179431369458802,-0.0488363964324692,-0.0260626468381761,0.115635604937137,131.693464484726,0.000285083752375485
