"ID_LogUnit","AGB","MAP","RainSeas","BulkDens","AreaLogUnit"
"CPT021",309.066319783333,2654.66666666667,39.5,1.29,494.26956
"CPT022",312.142019433333,2654.25,39.25,1.29,274.73942
"CPT023",304.568937025,2664,40,1.29,364.03948
"CPT024",289.229100825,2670.2,40,1.29,426.80436
"CPT025",311.176433725,2661.83333333333,39.8333333333333,1.29,431.62995
"CPT026",307.133835,2662.5,40,1.29,306.70426
"FRA001",316.0313899,2647.33333333333,41,1.29,700.0474
"FRA002",323.71767,2658,41,1.29,419.70108
"FRA003",301.616190866667,2655.4,41,1.29,359.72839
"FRA004",335.7994138,2653.25,40.75,1.29,338.72922
"FRA005",308.488218666667,2661.66666666667,40.6666666666667,1.29,402.0374
"FRA006",309.5424914,2667.42857142857,41.2857142857143,1.29,484.75278
"FRA007",307.199586466667,2669.75,41,1.29,307.45296
"FRA008",333.0736098,2675.25,41.5,1.29,405.76596
"FRA009",314.1891284,2671.6,41,1.29,432.3336
"FRA010",312.510865566667,2662.33333333333,40.5,1.29,422.16349
"FRA011",307.802446666667,2672,41,1.29,472.20939
"FRA012",315.0633804,2679.66666666667,41,1.29,501.09876
"FRA013",303.31606396,2684,41.8,1.29,504.80206
"FRA014",325.0213431625,2697.11111111111,42.6666666666667,1.29,804.04242
"FRA015",310.065933883333,2692.71428571429,42,1.29,496.80676
"FRA016",305.21784714,2698.2,42,1.29,590.55448
"FRA017",301.090294433333,2689.5,41.75,1.29,409.23384
"FRA020",315.682107075,2675.66666666667,40.8333333333333,1.29,506.70436
"PAT016",322.4189874,2677,50,1.37,359.16761
"TAM006",310.4935641,2564.66666666667,47.6666666666667,1.37,401.07307
"BSI001",322.014982,2771.11111111111,46.8888888888889,1.29,647.52143
"BSI002",325.2618969,2776.66666666667,46.5,1.29,529.00161
"BSI003",317.2564677,2781.33333333333,46.6666666666667,1.29,338.51407
"BSI004",322.911337433333,2780.5,46,1.29,299.85433
"BSI005",300.01239898,2782,46,1.29,401.04565
"BSI006",304.1608125,2790.25,46,1.29,258.02496
"BSI007",306.53143028,2798.75,46,1.29,389.84463
"BSI008",301.946647,2788.66666666667,45.3333333333333,1.29,273.48308
"BSI009",301.8463981,2800.25,46,1.29,295.72748
"BSI010",295.36934426,2789.33333333333,45,1.29,555.94294
"BSI011",298.103019485714,2783.875,44.875,1.29,617.3008
"BSI012",306.917364166667,2770.28571428571,44,1.29,645.09326
"BSI013",326.341144,2757.6,44,1.29,333.24611
"BSI014",312.92520898,2764.66666666667,44,1.29,385.85189
"BSI015",277.31898585,2768.75,44.5,1.29,256.82078
"BSI016",304.068327066667,2770.25,45,1.29,354.33229
"BSI017",313.4588815,2779.16666666667,45.1666666666667,1.29,379.82009
"BSI018",334.06522124,2759.25,44.5,1.29,276.28968
"BSI019",326.711085133333,2763.66666666667,45,1.29,312.03977
"BSI020",316.06172225,2770,45.6666666666667,1.29,379.40842
"BSI021",315.027827066667,2753.4,44,1.29,364.50146
"BSI022",326.56406,2748.33333333333,43.6666666666667,1.29,394.58569
"BSI023",309.29165185,2735.75,43.25,1.29,324.86027
"BSI024",315.674085925,2723.5,43,1.29,366.9342
"BSI025",321.33175414,2712.4,42.8,1.29,586.99056
"BSI026",318.055636428571,2714.25,42.5,1.29,478.16638
"BSI027",317.696319775,2706.83333333333,42,1.29,448.69048
"BSI028",336.3279451,2709.5,42,1.29,325.3829
"BSI029",340.877663675,2720.16666666667,42.3333333333333,1.29,503.35641
"BSI030",327.31393622,2733.16666666667,43,1.29,454.26063
"BSI031",312.39536685,2735.6,43,1.29,330.37147
"BSI032",307.86069475,2749.5,43.25,1.29,431.60885
"BSI033",324.76941075,2749.8,43,1.29,340.97247
"BSI034",313.96701402,2748.14285714286,43,1.29,563.3324
"BSI035",304.65487886,2765,43.5,1.29,452.19177
"BSI036",321.480630675,2765.4,43.8,1.29,484.53418
"BSI037",304.250406014286,2771.375,43.375,1.29,607.95372
"BSI038",298.368545083333,2746.83333333333,42.1666666666667,1.29,457.8356
"BSI039",299.674545,2736.2,42,1.29,364.21748
"BSI040",295.63843895,2744.75,42.5,1.29,636.34364
"BSI041",302.87027045,2747.5,42.8333333333333,1.29,484.71546
"BSI042",326.883419614286,2730.66666666667,42,1.29,620.89855
"BSI043",317.31828815,2728,42,1.29,378.4435
"BSI044",316.650389425,2721,42,1.29,421.41053
